"valår","region","Moderaterna","Centerpartiet","Folkpartiet","Kristdemokraterna","Miljöpartiet","Socialdemokraterna","Vänsterpartiet","Sverigedemokraterna","övriga partier"
"2002","Hagfors",6.3,9.4,5.0,4.9,2.0,56.9,13.7,1.2,0.6
"2002","Arvika",10.3,9.0,10.7,7.9,5.6,44.0,9.4,1.7,1.4
"2002","Säffle",12.4,19.1,10.8,10.9,3.6,33.8,6.6,1.0,1.9
"2002","Lekeberg",11.2,18.1,8.9,11.8,3.7,36.6,6.5,2.4,0.8
"2002","Laxå",6.8,7.3,8.9,10.0,2.4,50.7,9.7,2.4,1.7
"2002","Hallsberg",8.4,8.4,8.6,8.7,3.4,50.8,8.3,2.3,0.9
"2002","Degerfors",5.1,5.3,6.0,5.2,2.5,60.8,13.3,0.9,0.7
"2002","Hällefors",6.9,6.2,6.2,4.3,3.0,62.6,9.8,0.7,0.3
"2002","Ljusnarsberg",7.2,10.8,6.0,6.2,3.4,51.8,12.3,1.7,0.7
"2002","Örebro",12.1,4.6,14.2,10.2,5.2,41.8,9.0,1.8,1.3
"2002","Kumla",10.2,7.2,9.3,10.4,3.1,48.5,7.9,2.2,1.1
"2002","Askersund",11.1,10.6,8.8,9.4,3.2,45.5,8.6,2.1,0.8
"2002","Karlskoga",11.3,2.8,9.6,6.6,2.9,54.6,8.9,1.2,2.0
"2002","Nora",11.0,7.8,11.4,8.9,4.1,45.3,9.1,1.4,1.0
"2002","Lindesberg",10.1,12.0,8.4,7.6,4.0,47.5,7.7,1.6,1.0
"2002","Skinnskatteberg",7.8,8.3,6.8,5.3,3.9,53.6,12.9,0.6,0.9
"2002","Surahammar",7.2,3.8,8.7,5.6,3.5,57.8,11.5,0.9,0.9
"2002","Kungsör",12.2,8.9,11.7,8.5,3.6,45.3,8.3,0.5,1.1
"2002","Hallstahammar",8.3,4.3,9.8,8.3,3.3,52.3,10.6,1.9,1.1
"2002","Norberg",8.9,5.4,8.1,5.0,4.2,49.6,17.2,0.4,1.2
"2002","Västerås",14.5,3.2,16.7,8.2,4.9,42.4,7.3,1.2,1.7
"2002","Sala",11.8,12.8,11.3,9.6,4.3,40.8,7.4,1.2,0.8
"2002","Fagersta",10.2,3.9,8.0,6.0,3.6,52.6,13.7,1.0,1.0
"2002","Köping",11.0,7.0,10.3,6.8,3.3,48.8,9.9,0.9,2.1
"2002","Arboga",11.7,6.9,12.3,8.4,5.3,44.3,8.9,1.0,1.3
"2002","Vansbro",9.0,16.0,6.9,10.8,3.1,42.2,9.0,1.4,1.8
"2002","Malung-Sälen",14.5,11.3,10.0,6.6,2.6,42.7,9.5,0.6,2.2
"2002","Gagnef",9.9,15.1,8.9,10.6,4.5,40.4,7.3,0.8,2.5
"2002","Leksand",12.5,14.1,10.2,13.1,4.8,34.9,7.7,0.8,1.9
"2002","Rättvik",12.8,14.6,11.3,8.1,4.5,38.9,6.7,0.8,2.2
"2002","Orsa",10.3,13.6,9.1,8.2,6.0,36.9,10.2,2.8,2.9
"2002","Älvdalen",7.9,13.6,8.9,8.5,4.3,43.2,7.9,0.8,4.8
"2002","Smedjebacken",9.4,6.6,6.9,5.1,3.7,55.1,11.5,0.5,1.1
"2002","Mora",12.2,12.2,11.0,8.6,5.2,39.0,8.2,1.0,2.8
"2002","Falun",15.3,8.4,12.5,7.5,5.6,38.4,8.6,1.1,2.7
"2002","Borlänge",10.4,6.2,9.5,6.2,5.2,48.6,10.0,1.8,2.2
"2002","Säter",11.7,15.6,8.3,8.5,4.0,39.3,9.8,0.9,1.9
"2002","Hedemora",10.6,12.9,7.6,7.9,5.1,42.9,10.4,0.6,2.0
