år,region,inkomst,arbetslösa,befolkning,arbetslöshet
2002,1261 Kävlinge,153,424,25191,1.683140804
2002,1262 Lomma,179.4,194,18167,1.067870314
2002,1263 Svedala,148,298,18151,1.641782822
2002,1264 Skurup,130.4,404,13949,2.896264965
2002,1265 Sjöbo,122,379,17027,2.225876549
2002,1266 Hörby,122.4,243,13949,1.742060363
2002,1267 Höör,130.4,249,14169,1.757357612
2002,1270 Tomelilla,120.2,246,12447,1.976379851
2002,1272 Bromölla,142,205,12022,1.70520712
2002,1273 Osby,133.9,211,12637,1.669700087
2002,1275 Perstorp,136.6,95,6789,1.399322433
2002,1276 Klippan,129.7,345,15745,2.191171801
2002,1277 Åstorp,127.4,239,13150,1.817490494
2002,1278 Båstad,138.8,248,14009,1.770290528
2002,1280 Malmö,133,10263,265481,3.865813373
2002,1281 Lund,151,1993,100402,1.985020219
2002,1282 Landskrona,131.2,1162,38475,3.02014295
2002,1283 Helsingborg,146.5,4082,119406,3.418588681
2002,1284 Höganäs,153.7,501,22790,2.198332602
2002,1285 Eslöv,131.9,642,28985,2.214938761
2002,1286 Ystad,140,671,26383,2.543304401
2002,1287 Trelleborg,135.5,908,38759,2.3426817
2002,1290 Kristianstad,137.8,1845,74951,2.461608251
2002,1291 Simrishamn,128.9,270,19406,1.391322271
2002,1292 Ängelholm,144.3,895,37706,2.373627539
2002,1293 Hässleholm,130.9,1062,48536,2.18806659
2002,1315 Hylte,130.9,123,10401,1.182578598
2002,1380 Halmstad,139.5,2476,86585,2.859617717
2002,1381 Laholm,125,575,22750,2.527472527
2002,1382 Falkenberg,127.1,1012,38896,2.601809955
2002,1383 Varberg,136.2,1247,53346,2.337569827
2002,1384 Kungsbacka,162.7,996,66573,1.496102023
2002,1401 Härryda,161,410,30844,1.329269874
2002,1402 Partille,158.7,569,33088,1.719656673
2002,1407 Öckerö,146.2,113,11981,0.9431600033
2002,1415 Stenungsund,153,363,21755,1.668581935
2002,1419 Tjörn,149.1,279,14826,1.881829219
2002,1421 Orust,137,261,15113,1.726990009
2002,1427 Sotenäs,139.5,167,9467,1.764022394
