år,region,inkomst
2010,0642 Mullsjö,171.3
2010,0643 Habo,178.6
2010,0662 Gislaved,173.2
2010,0665 Vaggeryd,171.8
2010,0680 Jönköping,182.8
2010,0682 Nässjö,170.4
2010,0683 Värnamo,181.9
2010,0684 Sävsjö,159.8
2010,0685 Vetlanda,171.7
2010,0686 Eksjö,180.5
2010,0687 Tranås,169.7
2010,0760 Uppvidinge,161.9
2010,0761 Lessebo,160.6
2010,0763 Tingsryd,163.3
2010,0764 Alvesta,168.1
2010,0765 Älmhult,185.3
2010,0767 Markaryd,159.7
2010,0780 Växjö,180.9
2010,0781 Ljungby,174.2
2010,0821 Högsby,149.7
2010,0834 Torsås,156.7
2010,0840 Mörbylånga,173.9
2010,0860 Hultsfred,158.9
2010,0861 Mönsterås,176.8
2010,0862 Emmaboda,175.5
2010,0880 Kalmar,180.4
2010,0881 Nybro,164.8
2010,0882 Oskarshamn,191.8
2010,0883 Västervik,173.1
2010,0884 Vimmerby,169.2
2010,0885 Borgholm,158.3
2010,0980 Gotland,164.4
2010,1060 Olofström,173
2010,1080 Karlskrona,177
2010,1081 Ronneby,170.2
2010,1082 Karlshamn,179.7
2010,1083 Sölvesborg,170.5
2010,1214 Svalöv,159.9
2010,1230 Staffanstorp,193.3
2010,1231 Burlöv,162.1
2010,1233 Vellinge,218.2
2010,1256 Östra Göinge,164.3
2010,1257 Örkelljunga,154.2
2010,1260 Bjuv,153.9
2010,1261 Kävlinge,195.6
2010,1262 Lomma,235.4
2010,1263 Svedala,185.1
2010,1264 Skurup,165.2
2010,1265 Sjöbo,161.5
2010,1266 Hörby,159
2010,1267 Höör,170.5
2010,1270 Tomelilla,157
2010,1272 Bromölla,172.1
2010,1273 Osby,165.3
2010,1275 Perstorp,157.4
2010,1276 Klippan,158.4
2010,1277 Åstorp,153.3
2010,1278 Båstad,186.1
2010,1280 Malmö,156.5
2010,1281 Lund,186.8
2010,1282 Landskrona,157.8
2010,1283 Helsingborg,181.1
2010,1284 Höganäs,192.9
2010,1285 Eslöv,167.1
2010,1286 Ystad,183
2010,1287 Trelleborg,170.5
2010,1290 Kristianstad,171.5
2010,1291 Simrishamn,168.4
2010,1292 Ängelholm,186.5
2010,1293 Hässleholm,164.3
2010,1315 Hylte,165.5
2010,1380 Halmstad,179.8
2010,1381 Laholm,165.9
2010,1382 Falkenberg,169.5
2010,1383 Varberg,182.1
2010,1384 Kungsbacka,209.8
2010,1401 Härryda,203.9
2010,1402 Partille,200.7
2010,1407 Öckerö,193.9
2010,1415 Stenungsund,196.5
2010,1419 Tjörn,199.4
2010,1421 Orust,182.5
2010,1427 Sotenäs,187.3
2010,1430 Munkedal,159.5
